VideoID,Description
mv89psg6zh4_33_46.avi,A bird in a sink keeps getting under the running water from a faucet.
mv89psg6zh4_33_46.avi,A bird is bathing in a sink.
mv89psg6zh4_33_46.avi,A bird is splashing around under a running faucet.
mv89psg6zh4_33_46.avi,A bird is standing in a sink drinking water that is pouring out of the facet.
mv89psg6zh4_33_46.avi,A faucet is running while a bird stands in the sink below.
mv89psg6zh4_33_46.avi,A bird is playing in a sink with running water.
mv89psg6zh4_33_46.avi,A bird is playing in tap water.
mv89psg6zh4_33_46.avi,A bird is bathing in the sink.
mv89psg6zh4_33_46.avi,A bird is taking a bath.
mv89psg6zh4_33_46.avi,A bird is taking a shower in a sink.
mv89psg6zh4_33_46.avi,A bird is showering in the sink.
mv89psg6zh4_33_46.avi,The bird is taking a bath under the faucet.
mv89psg6zh4_33_46.avi,A parakeet is taking a shower in a sink.
mv89psg6zh4_33_46.avi,A bird gets washed.
mv89psg6zh4_33_46.avi,A bird is having a bath in the kitchen sink.
mv89psg6zh4_33_46.avi,A bird is bathing in a sink under running water.
mv89psg6zh4_33_46.avi,the bird is drinking water
mv89psg6zh4_33_46.avi,A bird walks under a running tap in a sink.
mv89psg6zh4_33_46.avi,a parrot is playing inside the wash basin.
mv89psg6zh4_33_46.avi,a bird in a sink n playing with water
mv89psg6zh4_33_46.avi,A bird is playing in a sink.
mv89psg6zh4_33_46.avi,A cockatiel in a kitchen sink playing under the running water.
mv89psg6zh4_33_46.avi,A bird is taking a bath in a sink.
mv89psg6zh4_33_46.avi,A bird  is playing in the sink.
mv89psg6zh4_33_46.avi,The white birt took a bath in the sink.
mv89psg6zh4_33_46.avi,a bird is playing
mv89psg6zh4_33_46.avi,The bird is taking a bath in the sink.
mv89psg6zh4_33_46.avi,A bird is drinking out of the sink.
ZbzDGXEwtGc_6_15.avi,a plane flying in the sky
ZbzDGXEwtGc_6_15.avi,A commercial plane flying.
ZbzDGXEwtGc_6_15.avi,A jet is flying.
