VideoID,Decription
8mSUD7JGNO0_174_181.avi,woman gallops on horse
8mSUD7JGNO0_174_181.avi,girl is riding horse
8mSUD7JGNO0_174_181.avi,girl rode horse in the barn
8mSUD7JGNO0_174_181.avi,lady is riding horse in barn
8mSUD7JGNO0_174_181.avi,person is keeping their horse at trot
8mSUD7JGNO0_174_181.avi,person is riding horse along the perimeter
8mSUD7JGNO0_174_181.avi,woman is galloping horse around an inside arena
8mSUD7JGNO0_174_181.avi,woman is riding horse in an enlosed covered area
8mSUD7JGNO0_174_181.avi,woman is riding horse
8mSUD7JGNO0_174_181.avi,woman is riding on horse
8mSUD7JGNO0_174_181.avi,the horse and rider trotted around the barn
8mSUD7JGNO0_174_181.avi,the woman is riding horse
8mSUD7JGNO0_174_181.avi,girl is riding horse
8mSUD7JGNO0_174_181.avi,girl is riding in the horse
8mSUD7JGNO0_174_181.avi,girl is sitting on the black horse
8mSUD7JGNO0_174_181.avi,lady riding horse
8mSUD7JGNO0_174_181.avi,man is rading in horse
8mSUD7JGNO0_174_181.avi,men walking on house
8mSUD7JGNO0_174_181.avi,person is riding on horse
8mSUD7JGNO0_174_181.avi,few guys are driving the horses
8mSUD7JGNO0_174_181.avi,fiona my best friend
8mSUD7JGNO0_174_181.avi,one lady riding on horse
8mSUD7JGNO0_174_181.avi,someone is riding horse
8mSUD7JGNO0_174_181.avi,the man is riding horse
8mSUD7JGNO0_174_181.avi,boy riding horse in horse stable
8mSUD7JGNO0_174_181.avi,girl is riding horse inside barn
8mSUD7JGNO0_174_181.avi,girl riding horse
8mSUD7JGNO0_174_181.avi,girl riding with horse
8mSUD7JGNO0_174_181.avi,horse is driven by woman
8mSUD7JGNO0_174_181.avi,lady is riding horse
8mSUD7JGNO0_174_181.avi,man is jogging on the horse
8mSUD7JGNO0_174_181.avi,man is riding on horse
8mSUD7JGNO0_174_181.avi,man is riding on the horse
8mSUD7JGNO0_174_181.avi,man rides horse in the barn
8mSUD7JGNO0_174_181.avi,man riding horse
8mSUD7JGNO0_174_181.avi,person is riding horse inside large building
8mSUD7JGNO0_174_181.avi,person is riding horse
8mSUD7JGNO0_174_181.avi,person rides horse in stable
8mSUD7JGNO0_174_181.avi,woman is riding horse beside wall
8mSUD7JGNO0_174_181.avi,woman is riding horse in barn
8mSUD7JGNO0_174_181.avi,woman is riding around on horse
8mSUD7JGNO0_174_181.avi,woman rides horse inside barn
8mSUD7JGNO0_174_181.avi,the person is raiding the horse
8mSUD7JGNO0_174_181.avi,man is riding in horse
8mSUD7JGNO0_174_181.avi,man practice horse riding
8mSUD7JGNO0_174_181.avi,young girl is riding horse
DBvSfds3FH4_76_80.avi,woman is kneading dough
DBvSfds3FH4_76_80.avi,person is kneading dough
DBvSfds3FH4_76_80.avi,someone is kneading large piece of dough
DBvSfds3FH4_76_80.avi,woman is kneading dough
DBvSfds3FH4_76_80.avi,lwoman is preparing something
DBvSfds3FH4_76_80.avi,woman is kneading dough with her hands
DBvSfds3FH4_76_80.avi,person is mashing dough
DBvSfds3FH4_76_80.avi,person kneads dough with their hands
DBvSfds3FH4_76_80.avi,woman is kneeding dough
DBvSfds3FH4_76_80.avi,woman is kneading some dough
DBvSfds3FH4_76_80.avi,the lady rolled out the dough
DBvSfds3FH4_76_80.avi,the baker is kneading dough
DBvSfds3FH4_76_80.avi,woman is kneading marzipan
