VideoID,Decription
mv89psg6zh4_33_46.avi,bird in sink keeps getting under the running water from faucet
mv89psg6zh4_33_46.avi,bird is bathing in sink
mv89psg6zh4_33_46.avi,bird is splashing around under running faucet
mv89psg6zh4_33_46.avi,bird is standing in sink drinking water that is pouring out of the facet
mv89psg6zh4_33_46.avi,faucet is running while bird stands in the sink below
mv89psg6zh4_33_46.avi,bird is playing in sink with running water
mv89psg6zh4_33_46.avi,bird is playing in tap water
mv89psg6zh4_33_46.avi,bird is bathing in the sink
mv89psg6zh4_33_46.avi,bird is taking bath
mv89psg6zh4_33_46.avi,bird is taking shower in sink
mv89psg6zh4_33_46.avi,bird is showering in the sink
mv89psg6zh4_33_46.avi,the bird is taking bath under the faucet
mv89psg6zh4_33_46.avi,parakeet is taking shower in sink
mv89psg6zh4_33_46.avi,bird gets washed
mv89psg6zh4_33_46.avi,bird is having bath in the kitchen sink
mv89psg6zh4_33_46.avi,bird is bathing in sink under running water
mv89psg6zh4_33_46.avi,the bird is drinking water
mv89psg6zh4_33_46.avi,bird walks under running tap in sink
mv89psg6zh4_33_46.avi,parrot is playing inside the wash basin
mv89psg6zh4_33_46.avi,bird in sink playing with water
mv89psg6zh4_33_46.avi,bird is playing in sink
mv89psg6zh4_33_46.avi,cockatiel in kitchen sink playing under the running water
mv89psg6zh4_33_46.avi,bird is taking bath in sink
mv89psg6zh4_33_46.avi,bird is playing in the sink
mv89psg6zh4_33_46.avi,the white birt took bath in the sink
mv89psg6zh4_33_46.avi,bird is playing
mv89psg6zh4_33_46.avi,the bird is taking bath in the sink
mv89psg6zh4_33_46.avi,bird is drinking out of the sink
ZbzDGXEwtGc_6_15.avi,plane flying in the sky
ZbzDGXEwtGc_6_15.avi,commercial plane flying
ZbzDGXEwtGc_6_15.avi,jet is flying
ZbzDGXEwtGc_6_15.avi,large jet is flying through the sky
ZbzDGXEwtGc_6_15.avi,passenger plane flies through the air
ZbzDGXEwtGc_6_15.avi,plane flies through the air
ZbzDGXEwtGc_6_15.avi,plane is flying in the air
ZbzDGXEwtGc_6_15.avi,plane is flying
ZbzDGXEwtGc_6_15.avi,south african airways plane is flying in blue sky
ZbzDGXEwtGc_6_15.avi,an aeroplane is flying in the air
ZbzDGXEwtGc_6_15.avi,an airplane is flying in the air
ZbzDGXEwtGc_6_15.avi,an airplane is flying in the clear sky
ZbzDGXEwtGc_6_15.avi,an airplane is flying in the sky
ZbzDGXEwtGc_6_15.avi,an airplane is flying
ZbzDGXEwtGc_6_15.avi,the plane flew in the sky
ZbzDGXEwtGc_6_15.avi,the plane is soaring through the air
ZbzDGXEwtGc_6_15.avi,the south african jet banked itself in the air
ZbzDGXEwtGc_6_15.avi,the airplane is flying in air
ZbzDGXEwtGc_6_15.avi,an airplane flying
ZbzDGXEwtGc_6_15.avi,south african airplane flying sideways in the sky
ZbzDGXEwtGc_6_15.avi,the avión airplane is flying high in the sky
ZbzDGXEwtGc_6_15.avi,an aeroplane flying in the sky
ZbzDGXEwtGc_6_15.avi,an aeroplane is flying
ZbzDGXEwtGc_6_15.avi,flight is flying in the sky
ZbzDGXEwtGc_6_15.avi,south african flight is flying
ZbzDGXEwtGc_6_15.avi,an airplane is flying with blue sky in the background
